strategy,count,delta,kappa,sim,seed
IL,94.6644,0.75,0.4,1,43
MF,25.3356,0.75,0.4,1,43
IL,88.4616,0.54,0.4,2,48
MF,31.5384,0.54,0.4,2,48
IL,92.0688,0.78,0.4,3,49
MF,27.9312,0.78,0.4,3,49
IL,79.1668,0.59,0.4,4,42
MF,40.8332,0.59,0.4,4,42
IL,108.1232,0.95,0.4,5,51
MF,11.8768,0.95,0.4,5,51
IL,32.3476,0.16,0.4,6,49
MF,87.6524,0.16,0.4,6,49
IL,105.4024,0.95,0.4,7,45
MF,14.5976,0.95,0.4,7,45
IL,38.446,0.37,0.4,8,42
MF,81.554,0.37,0.4,8,42
IL,95.7064,0.61,0.4,9,50
MF,24.2936,0.61,0.4,9,50
IL,24.4292,0.11,0.4,10,47
MF,95.5708,0.11,0.4,10,47
IL,77.694,0.61,0.4,11,44
MF,42.306,0.61,0.4,11,44
IL,35.7568,0.23,0.4,12,45
MF,84.2432,0.23,0.4,12,45
IL,96.6964,0.9,0.4,13,49
MF,23.3036,0.9,0.4,13,49
IL,105.4256,0.81,0.4,14,42
MF,14.5744,0.81,0.4,14,42
IL,65.314,0.4,0.4,15,43
MF,54.686,0.4,0.4,15,43
IL,33.6324,0.23,0.4,16,51
MF,86.3676,0.23,0.4,16,51
IL,80.9256,0.53,0.4,17,46
MF,39.0744,0.53,0.4,17,46
IL,41.8528,0.19,0.4,18,44
MF,78.1472,0.19,0.4,18,44
IL,67.8764,0.45,0.4,19,46
MF,52.1236,0.45,0.4,19,46
IL,49.2516,0.35,0.4,20,51
MF,70.7484,0.35,0.4,20,51
IL,68.8588,0.69,0.4,21,47
MF,51.1412,0.69,0.4,21,47
IL,55.6988,0.35,0.4,22,45
MF,64.3012,0.35,0.4,22,45
IL,27.5308,0.19,0.4,23,50
MF,92.4692,0.19,0.4,23,50
IL,107.6368,0.97,0.4,24,42
MF,12.3632,0.97,0.4,24,42
IL,106.472,0.77,0.4,25,44
MF,13.528,0.77,0.4,25,44
IL,24.4464,0.07,0.4,26,47
MF,95.5536,0.07,0.4,26,47
IL,100.7552,0.77,0.4,27,50
MF,19.2448,0.77,0.4,27,50
IL,85.9936,0.83,0.4,28,45
MF,34.0064,0.83,0.4,28,45
IL,85.1552,0.6,0.4,29,50
MF,34.8448,0.6,0.4,29,50
IL,35.2208,0.21,0.4,30,42
MF,84.7792,0.21,0.4,30,42
IL,93.6268,0.83,0.4,31,51
MF,26.3732,0.83,0.4,31,51
IL,85.068,0.6,0.4,32,44
MF,34.932,0.6,0.4,32,44
IL,99.4008,0.63,0.4,33,43
MF,20.5992,0.63,0.4,33,43
IL,72.5184,0.42,0.4,34,48
MF,47.4816,0.42,0.4,34,48
IL,85.8652,0.63,0.4,35,42
MF,34.1348,0.63,0.4,35,42
IL,70.7848,0.42,0.4,36,49
MF,49.2152,0.42,0.4,36,49
IL,72.9548,0.6,0.4,37,45
MF,47.0452,0.6,0.4,37,45
IL,108.3936,0.83,0.4,38,50
MF,11.6064,0.83,0.4,38,50
IL,85.81,0.6,0.4,39,51
MF,34.19,0.6,0.4,39,51
IL,92.5756,0.83,0.4,40,44
MF,27.4244,0.83,0.4,40,44
IL,26.0912,0.21,0.4,41,43
MF,93.9088,0.21,0.4,41,43
IL,104.7312,0.77,0.4,42,51
MF,15.2688,0.77,0.4,42,51
IL,11.178,0.07,0.4,43,46
MF,108.822,0.07,0.4,43,46
IL,88.2232,0.77,0.4,44,45
MF,31.7768,0.77,0.4,44,45
IL,37.0996,0.19,0.4,45,51
MF,82.9004,0.19,0.4,45,51
IL,53.9264,0.35,0.4,46,44
MF,66.0736,0.35,0.4,46,44
IL,82.032,0.69,0.4,47,46
MF,37.968,0.69,0.4,47,46
IL,107.3176,0.97,0.4,48,43
MF,12.6824,0.97,0.4,48,43
IL,55.7312,0.35,0.4,49,50
MF,64.2688,0.35,0.4,49,50
IL,54.1136,0.45,0.4,50,47
MF,65.8864,0.45,0.4,50,47
IL,21.7576,0.19,0.4,51,45
MF,98.2424,0.19,0.4,51,45
IL,57.462,0.4,0.4,52,42
MF,62.538,0.4,0.4,52,42
IL,65.8508,0.53,0.4,53,47
MF,54.1492,0.53,0.4,53,47
IL,34.2688,0.23,0.4,54,50
MF,85.7312,0.23,0.4,54,50
