strategy,avg_payoff,delta,kappa,seed,sim
IL,0.5950761931038296,0.75,0.4,43,1
MF,0.2200379217955972,0.75,0.4,43,1
IL,0.5950492340512231,0.54,0.4,48,2
MF,0.3865146721196642,0.54,0.4,48,2
IL,0.5950030433141368,0.78,0.4,49,3
MF,0.1550506963705748,0.78,0.4,49,3
IL,0.5950167310803529,0.59,0.4,42,4
MF,0.3052295164983879,0.59,0.4,42,4
IL,0.5949938980447976,0.95,0.4,51,5
MF,0.0913310053811521,0.95,0.4,51,5
IL,0.5951727767975862,0.16,0.4,49,6
MF,0.5849568812439929,0.16,0.4,49,6
IL,0.5950265533810379,0.95,0.4,45,7
MF,0.05963965982269576,0.95,0.4,45,7
IL,0.594905990249091,0.37,0.4,42,8
MF,0.3400502497956918,0.37,0.4,42,8
IL,0.5950520315772143,0.61,0.4,50,9
MF,0.3329455251960155,0.61,0.4,50,9
IL,0.5950596003204962,0.11,0.4,47,10
MF,0.6094802461792256,0.11,0.4,47,10
IL,0.5949009261428494,0.61,0.4,44,11
MF,0.28176393154616336,0.61,0.4,44,11
IL,0.5950198538567765,0.23,0.4,45,12
MF,0.48799486565250544,0.23,0.4,45,12
IL,0.5948982888795382,0.9,0.4,49,13
MF,0.0776879654823745,0.9,0.4,49,13
IL,0.5949979186900618,0.81,0.4,42,14
MF,0.14869424365730616,0.81,0.4,42,14
IL,0.5950990244056888,0.4,0.4,43,15
MF,0.45144567677508424,0.4,0.4,43,15
IL,0.5952194646842216,0.23,0.4,51,16
MF,0.4807153047547739,0.23,0.4,51,16
IL,0.5949519587275646,0.53,0.4,46,17
MF,0.3733553266033837,0.53,0.4,46,17
IL,0.5950405498062402,0.19,0.4,44,18
MF,0.593344472904198,0.19,0.4,44,18
IL,0.5950092053442159,0.45,0.4,46,19
MF,0.4061621219853562,0.45,0.4,46,19
IL,0.5950372705746098,0.35,0.4,51,20
MF,0.4211619734515104,0.35,0.4,51,20
IL,0.5949008626214185,0.69,0.4,47,21
MF,0.19654009810540884,0.69,0.4,47,21
IL,0.5950739183041125,0.35,0.4,45,22
MF,0.45450976795526477,0.35,0.4,45,22
IL,0.5948429371221096,0.19,0.4,50,23
MF,0.47181885498561116,0.19,0.4,50,23
IL,0.5950858355437383,0.97,0.4,42,24
MF,0.02889525302359798,0.97,0.4,42,24
IL,0.5950220408477188,0.77,0.4,44,25
MF,0.21430243175451627,0.77,0.4,44,25
IL,0.5952927608488352,0.07,0.4,47,26
MF,0.7187574879306968,0.07,0.4,47,26
IL,0.5951001906801212,0.77,0.4,50,27
MF,0.2051885555387295,0.77,0.4,50,27
IL,0.5948855214724624,0.83,0.4,45,28
MF,0.11513384725035566,0.83,0.4,45,28
IL,0.5949947251091895,0.6,0.4,50,29
MF,0.3102932525901773,0.6,0.4,50,29
IL,0.5950596787618704,0.21,0.4,42,30
MF,0.5274388300589843,0.21,0.4,42,30
IL,0.5949638110445334,0.83,0.4,51,31
MF,0.12062272325344918,0.83,0.4,51,31
IL,0.5949364669888263,0.6,0.4,44,32
MF,0.3343657464967189,0.6,0.4,44,32
IL,0.5950005627962203,0.63,0.4,43,33
MF,0.30524216295707696,0.63,0.4,43,33
IL,0.5949952501483089,0.42,0.4,48,34
MF,0.43602632106484307,0.42,0.4,48,34
IL,0.5950057040720906,0.63,0.4,42,35
MF,0.30814699383594624,0.63,0.4,42,35
IL,0.5950915997817708,0.42,0.4,49,36
MF,0.45257532868630107,0.42,0.4,49,36
IL,0.5948580525637318,0.6,0.4,45,37
MF,0.2836907636264288,0.6,0.4,45,37
IL,0.595024358771454,0.83,0.4,50,38
MF,0.14677059191435984,0.83,0.4,50,38
IL,0.5949856467413839,0.6,0.4,51,39
MF,0.30552958058525764,0.6,0.4,51,39
IL,0.5949868971844207,0.83,0.4,44,40
MF,0.11895362781543045,0.83,0.4,44,40
IL,0.5949045135706388,0.21,0.4,43,41
MF,0.4571011427410012,0.21,0.4,43,41
IL,0.5949998181484065,0.77,0.4,51,42
MF,0.21765240443017037,0.77,0.4,51,42
IL,0.5942689552595233,0.07,0.4,46,43
MF,0.58621440262125,0.07,0.4,46,43
IL,0.5949603343573596,0.77,0.4,45,44
MF,0.17230913902888925,0.77,0.4,45,44
IL,0.5951315899686056,0.19,0.4,51,45
MF,0.5339769278913867,0.19,0.4,51,45
IL,0.5951882907370949,0.35,0.4,44,46
MF,0.5072929659622768,0.35,0.4,44,46
IL,0.5950749228346677,0.69,0.4,46,47
MF,0.24776776083877122,0.69,0.4,46,47
IL,0.5950006585962148,0.97,0.4,43,48
MF,-0.029794021336047184,0.97,0.4,43,48
