strategy,count,delta,lambda,kappa,sim,seed
IL,6.72141638225256,0.0,0.3,0.4,1,46
MB,5.919446704637917,0.0,0.3,0.4,1,46
MF,107.878,0.0,0.3,0.4,1,46
IL,18.778553820870993,0.79,0.1,0.4,2,47
MB,91.7488,0.79,0.1,0.4,2,47
MF,9.9684,0.79,0.1,0.4,2,47
IL,6.013625103220479,0.03,0.2,0.4,3,48
MB,7.1088,0.03,0.2,0.4,3,48
MF,107.0652,0.03,0.2,0.4,3,48
IL,51.5852,0.33,0.3,0.4,4,46
MB,15.186,0.33,0.3,0.4,4,46
MF,53.2288,0.33,0.3,0.4,4,46
IL,58.9248,0.89,0.3,0.4,5,46
MB,48.5596,0.89,0.3,0.4,5,46
MF,12.5156,0.89,0.3,0.4,5,46
IL,28.0576,0.75,0.3,0.4,6,46
MB,67.0784,0.75,0.3,0.4,6,46
MF,24.864,0.75,0.3,0.4,6,46
IL,10.9756,0.93,0.2,0.4,7,42
MB,102.8068,0.93,0.2,0.4,7,42
MF,6.225070084100921,0.93,0.2,0.4,7,42
IL,16.2564,0.85,0.1,0.4,8,47
MB,92.8664,0.85,0.1,0.4,8,47
MF,10.8772,0.85,0.1,0.4,8,47
IL,38.2008,0.45,0.2,0.4,9,48
MB,9.9496,0.45,0.2,0.4,9,48
MF,71.8496,0.45,0.2,0.4,9,48
IL,38.9044,0.29,0.2,0.4,10,42
MB,21.0552,0.29,0.2,0.4,10,42
MF,60.0404,0.29,0.2,0.4,10,42
IL,51.8772,0.48,0.3,0.4,11,48
MB,28.4036,0.48,0.3,0.4,11,48
MF,39.7192,0.48,0.3,0.4,11,48
IL,44.03,0.24,0.3,0.4,12,42
MB,13.9564,0.24,0.3,0.4,12,42
MF,62.0136,0.24,0.3,0.4,12,42
IL,11.6612,0.02,0.1,0.4,13,49
MB,25.6076,0.02,0.1,0.4,13,49
MF,82.7312,0.02,0.1,0.4,13,49
IL,26.2588,0.78,0.2,0.4,14,46
MB,68.6316,0.78,0.2,0.4,14,46
MF,25.1096,0.78,0.2,0.4,14,46
IL,67.9352,0.46,0.3,0.4,15,50
MB,10.525319061342117,0.46,0.3,0.4,15,50
MF,41.8384,0.46,0.3,0.4,15,50
IL,28.4032,0.28,0.1,0.4,16,43
MB,22.7632,0.28,0.1,0.4,16,43
MF,68.8336,0.28,0.1,0.4,16,43
IL,24.2148,0.92,0.1,0.4,17,43
MB,75.3196,0.92,0.1,0.4,17,43
MF,20.4656,0.92,0.1,0.4,17,43
IL,25.6608,0.44,0.1,0.4,18,49
MB,70.0484,0.44,0.1,0.4,18,49
MF,24.2908,0.44,0.1,0.4,18,49
IL,31.1984,0.84,0.2,0.4,19,46
MB,80.3704,0.84,0.2,0.4,19,46
MF,8.4312,0.84,0.2,0.4,19,46
IL,39.2276,0.46,0.3,0.4,20,44
MB,22.188,0.46,0.3,0.4,20,44
MF,58.5844,0.46,0.3,0.4,20,44
IL,56.5032,0.62,0.3,0.4,21,42
MB,19.824,0.62,0.3,0.4,21,42
MF,43.6728,0.62,0.3,0.4,21,42
IL,54.178,0.4,0.3,0.4,22,44
MB,12.0808,0.4,0.3,0.4,22,44
MF,53.7412,0.4,0.3,0.4,22,44
IL,16.7564,0.6,0.1,0.4,23,49
MB,87.3456,0.6,0.1,0.4,23,49
MF,15.898,0.6,0.1,0.4,23,49
IL,4.732319078947368,0.35,0.1,0.4,24,49
MB,91.3524,0.35,0.1,0.4,24,49
MF,24.044,0.35,0.1,0.4,24,49
IL,9.4712,0.59,0.1,0.4,25,43
MB,103.7252,0.59,0.1,0.4,25,43
MF,7.00247015232606,0.59,0.1,0.4,25,43
IL,18.0908,0.13,0.3,0.4,26,42
MB,8.272435897435898,0.13,0.3,0.4,26,42
MF,93.65,0.13,0.3,0.4,26,42
IL,40.7256,0.37,0.3,0.4,27,44
MB,13.5528,0.37,0.3,0.4,27,44
MF,65.7216,0.37,0.3,0.4,27,44
IL,49.6008,0.37,0.3,0.4,28,50
MB,19.8444,0.37,0.3,0.4,28,50
MF,50.5548,0.37,0.3,0.4,28,50
IL,50.188,0.4,0.3,0.4,29,50
MB,15.2516,0.4,0.3,0.4,29,50
MF,54.5604,0.4,0.3,0.4,29,50
IL,32.95,0.55,0.3,0.4,30,42
MB,28.544,0.55,0.3,0.4,30,42
MF,58.506,0.55,0.3,0.4,30,42
IL,41.5376,0.71,0.3,0.4,31,44
MB,45.0784,0.71,0.3,0.4,31,44
MF,33.384,0.71,0.3,0.4,31,44
IL,63.148,0.83,0.3,0.4,32,48
MB,41.1084,0.83,0.3,0.4,32,48
MF,15.7436,0.83,0.3,0.4,32,48
IL,40.4452,0.39,0.3,0.4,33,48
MB,16.1248,0.39,0.3,0.4,33,48
MF,63.43,0.39,0.3,0.4,33,48
IL,16.3516,0.09,0.2,0.4,34,46
MB,12.5604,0.09,0.2,0.4,34,46
MF,91.088,0.09,0.2,0.4,34,46
IL,12.4432,0.81,0.1,0.4,35,45
MB,100.4808,0.81,0.1,0.4,35,45
MF,7.084501401682019,0.81,0.1,0.4,35,45
IL,12.60875,0.73,0.1,0.4,36,49
MB,103.5368,0.73,0.1,0.4,36,49
MF,4.3588,0.73,0.1,0.4,36,49
IL,19.9492,0.8,0.1,0.4,37,45
MB,92.3448,0.8,0.1,0.4,37,45
MF,7.706,0.8,0.1,0.4,37,45
IL,6.229967948717949,0.8,0.1,0.4,38,51
MB,106.7244,0.8,0.1,0.4,38,51
MF,7.808322266489597,0.8,0.1,0.4,38,51
IL,12.99,0.81,0.1,0.4,39,51
MB,101.8712,0.81,0.1,0.4,39,51
MF,5.153229041315684,0.81,0.1,0.4,39,51
IL,70.7452,0.71,0.3,0.4,40,50
MB,34.2668,0.71,0.3,0.4,40,50
MF,14.988,0.71,0.3,0.4,40,50
IL,51.426,0.7,0.2,0.4,41,48
MB,45.814,0.7,0.2,0.4,41,48
MF,22.76,0.7,0.2,0.4,41,48
IL,13.3012,0.04,0.3,0.4,42,46
MB,9.7356,0.04,0.3,0.4,42,46
MF,96.9632,0.04,0.3,0.4,42,46
IL,33.4136,0.58,0.2,0.4,43,42
MB,48.1284,0.58,0.2,0.4,43,42
MF,38.458,0.58,0.2,0.4,43,42
IL,32.9712,0.34,0.2,0.4,44,48
MB,28.7076,0.34,0.2,0.4,44,48
MF,58.3212,0.34,0.2,0.4,44,48
IL,29.7768,0.9,0.2,0.4,45,50
MB,69.254,0.9,0.2,0.4,45,50
MF,20.9692,0.9,0.2,0.4,45,50
IL,24.4628,0.72,0.2,0.4,46,48
MB,84.6152,0.72,0.2,0.4,46,48
MF,10.922,0.72,0.2,0.4,46,48
IL,14.7244,0.08,0.1,0.4,47,47
MB,13.660225442834138,0.08,0.1,0.4,47,47
MF,91.7028,0.08,0.1,0.4,47,47
IL,34.4688,0.42,0.3,0.4,48,46
MB,34.0652,0.42,0.3,0.4,48,46
MF,51.466,0.42,0.3,0.4,48,46
IL,46.2408,0.9,0.2,0.4,49,44
MB,59.688,0.9,0.2,0.4,49,44
MF,14.0712,0.9,0.2,0.4,49,44
IL,41.4608,0.8,0.3,0.4,50,42
MB,65.238,0.8,0.3,0.4,50,42
MF,13.3012,0.8,0.3,0.4,50,42
IL,45.998,0.81,0.3,0.4,51,42
MB,31.0224,0.81,0.3,0.4,51,42
MF,42.9796,0.81,0.3,0.4,51,42
IL,53.7456,0.57,0.3,0.4,52,48
MB,29.4288,0.57,0.3,0.4,52,48
MF,36.8256,0.57,0.3,0.4,52,48
IL,13.848,0.67,0.2,0.4,53,46
MB,85.2648,0.67,0.2,0.4,53,46
MF,20.8872,0.67,0.2,0.4,53,46
IL,7.4784,0.55,0.1,0.4,54,45
MB,101.1612,0.55,0.1,0.4,54,45
MF,11.512363194162951,0.55,0.1,0.4,54,45
IL,12.426,0.71,0.1,0.4,55,43
MB,88.784,0.71,0.1,0.4,55,43
MF,18.79,0.71,0.1,0.4,55,43
IL,7.662102295610149,0.55,0.1,0.4,56,51
MB,94.064,0.55,0.1,0.4,56,51
MF,18.326,0.55,0.1,0.4,56,51
IL,25.0312,0.21,0.2,0.4,57,46
MB,25.9836,0.21,0.2,0.4,57,46
MF,68.9852,0.21,0.2,0.4,57,46
IL,11.3824,0.13,0.1,0.4,58,45
MB,48.528,0.13,0.1,0.4,58,45
MF,60.0896,0.13,0.1,0.4,58,45
IL,13.8384,0.37,0.1,0.4,59,43
MB,53.5172,0.37,0.1,0.4,59,43
MF,52.6444,0.37,0.1,0.4,59,43
IL,43.0784,0.59,0.3,0.4,60,44
MB,58.8512,0.59,0.3,0.4,60,44
MF,18.0704,0.59,0.3,0.4,60,44
IL,20.3324,0.11,0.3,0.4,61,48
MB,6.5270870337477795,0.11,0.3,0.4,61,48
MF,93.788,0.11,0.3,0.4,61,48
IL,12.304,0.4,0.1,0.4,62,43
MB,87.6984,0.4,0.1,0.4,62,43
MF,19.9976,0.4,0.1,0.4,62,43
IL,52.786,0.59,0.3,0.4,63,50
MB,47.0012,0.59,0.3,0.4,63,50
MF,20.2128,0.59,0.3,0.4,63,50
IL,9.8552,0.13,0.1,0.4,64,51
MB,28.7216,0.13,0.1,0.4,64,51
MF,81.4232,0.13,0.1,0.4,64,51
IL,23.9656,0.54,0.2,0.4,65,50
MB,39.85,0.54,0.2,0.4,65,50
MF,56.1844,0.54,0.2,0.4,65,50
IL,26.9432,0.54,0.2,0.4,66,44
MB,61.6944,0.54,0.2,0.4,66,44
MF,31.3624,0.54,0.2,0.4,66,44
IL,25.3336,0.66,0.1,0.4,67,47
MB,72.3752,0.66,0.1,0.4,67,47
MF,22.2912,0.66,0.1,0.4,67,47
IL,101.4912,0.96,0.3,0.4,68,46
MB,6.916,0.96,0.3,0.4,68,46
MF,11.5928,0.96,0.3,0.4,68,46
IL,21.6416,0.12,0.2,0.4,69,50
MB,6.105809128630705,0.12,0.2,0.4,69,50
MF,92.4724,0.12,0.2,0.4,69,50
IL,14.932,0.12,0.2,0.4,70,44
MB,12.2252,0.12,0.2,0.4,70,44
MF,92.8428,0.12,0.2,0.4,70,44
IL,20.0764,0.36,0.2,0.4,71,42
MB,58.586,0.36,0.2,0.4,71,42
MF,41.3376,0.36,0.2,0.4,71,42
IL,18.5476,0.5,0.2,0.4,72,42
MB,69.2904,0.5,0.2,0.4,72,42
MF,32.162,0.5,0.2,0.4,72,42
IL,34.4668,0.47,0.2,0.4,73,42
MB,48.0628,0.47,0.2,0.4,73,42
MF,37.4704,0.47,0.2,0.4,73,42
IL,30.9088,0.63,0.2,0.4,74,44
MB,64.5668,0.63,0.2,0.4,74,44
MF,24.5244,0.63,0.2,0.4,74,44
IL,32.9536,0.91,0.2,0.4,75,48
MB,70.81,0.91,0.2,0.4,75,48
MF,16.2364,0.91,0.2,0.4,75,48
IL,18.9204,0.51,0.1,0.4,76,47
MB,61.0204,0.51,0.1,0.4,76,47
MF,40.0592,0.51,0.1,0.4,76,47
IL,18.6996,0.63,0.2,0.4,77,50
MB,60.7632,0.63,0.2,0.4,77,50
MF,40.5372,0.63,0.2,0.4,77,50
IL,11.5256,0.01,0.2,0.4,78,42
MB,11.378,0.01,0.2,0.4,78,42
MF,97.0964,0.01,0.2,0.4,78,42
IL,27.014,0.25,0.2,0.4,79,44
MB,21.1376,0.25,0.2,0.4,79,44
MF,71.8484,0.25,0.2,0.4,79,44
IL,21.8564,0.17,0.1,0.4,80,47
MB,31.3292,0.17,0.1,0.4,80,47
MF,66.8144,0.17,0.1,0.4,80,47
