strategy,avg_payoff,delta,lambda,kappa,sim,seed
IL,0.5953531057253327,0.0,0.3,0.4,1,46
MB,0.6917434219732821,0.0,0.3,0.4,1,46
MF,0.98926265241477,0.0,0.3,0.4,1,46
IL,0.5954313846250472,0.79,0.1,0.4,2,47
MB,0.5719431929954064,0.79,0.1,0.4,2,47
MF,0.14327949524763686,0.79,0.1,0.4,2,47
IL,0.5942786620893556,0.03,0.2,0.4,3,48
MB,0.417282101898102,0.03,0.2,0.4,3,48
MF,0.5947747868641511,0.03,0.2,0.4,3,48
IL,0.594949981789712,0.33,0.3,0.4,4,46
MB,0.42374897805646694,0.33,0.3,0.4,4,46
MF,0.4830812465344027,0.33,0.3,0.4,4,46
IL,0.5949530827798584,0.89,0.3,0.4,5,46
MB,0.5419790207300544,0.89,0.3,0.4,5,46
MF,0.10229471355008143,0.89,0.3,0.4,5,46
IL,0.595018402992738,0.75,0.3,0.4,6,46
MB,0.3385212777988267,0.75,0.3,0.4,6,46
MF,0.15583719930721399,0.75,0.3,0.4,6,46
IL,0.5948516721555467,0.93,0.2,0.4,7,42
MB,0.44091315695086203,0.93,0.2,0.4,7,42
MF,0.03593231955001372,0.93,0.2,0.4,7,42
IL,0.5953414443049615,0.85,0.1,0.4,8,47
MB,0.5010262193485975,0.85,0.1,0.4,8,47
MF,0.058847627776420344,0.85,0.1,0.4,8,47
IL,0.5950761708277239,0.45,0.2,0.4,9,48
MB,0.3360719765917397,0.45,0.2,0.4,9,48
MF,0.29258386758379895,0.45,0.2,0.4,9,48
IL,0.5951829690180858,0.29,0.2,0.4,10,42
MB,0.4715000054254608,0.29,0.2,0.4,10,42
MF,0.4696464424441253,0.29,0.2,0.4,10,42
IL,0.5950280084900935,0.48,0.3,0.4,11,48
MB,0.4152853580277345,0.48,0.3,0.4,11,48
MF,0.3528324397995459,0.48,0.3,0.4,11,48
IL,0.5951177951125722,0.24,0.3,0.4,12,42
MB,0.4406518312447799,0.24,0.3,0.4,12,42
MF,0.5640197287088043,0.24,0.3,0.4,12,42
IL,0.5954202688395196,0.02,0.1,0.4,13,49
MB,0.7911505346517786,0.02,0.1,0.4,13,49
MF,0.8769029792551666,0.02,0.1,0.4,13,49
IL,0.5949416279835658,0.78,0.2,0.4,14,46
MB,0.37116196757420705,0.78,0.2,0.4,14,46
MF,0.11999273661942354,0.78,0.2,0.4,14,46
IL,0.5950574599477162,0.46,0.3,0.4,15,50
MB,0.478839095162502,0.46,0.3,0.4,15,50
MF,0.3978572571539835,0.46,0.3,0.4,15,50
IL,0.5948875439695381,0.28,0.1,0.4,16,43
MB,0.46996954582368783,0.28,0.1,0.4,16,43
MF,0.41689034772492733,0.28,0.1,0.4,16,43
IL,0.5946496967863932,0.92,0.1,0.4,17,43
MB,0.46076981347410984,0.92,0.1,0.4,17,43
MF,0.05203695602423436,0.92,0.1,0.4,17,43
IL,0.5950778663575667,0.44,0.1,0.4,18,49
MB,0.6056281794605225,0.44,0.1,0.4,18,49
MF,0.39721426600100984,0.44,0.1,0.4,18,49
IL,0.5955078962524489,0.84,0.2,0.4,19,46
MB,0.6070340384049785,0.84,0.2,0.4,19,46
MF,0.08606354426619134,0.84,0.2,0.4,19,46
IL,0.5950565444683906,0.46,0.3,0.4,20,44
MB,0.2985136844840307,0.46,0.3,0.4,20,44
MF,0.3323234446423297,0.46,0.3,0.4,20,44
IL,0.595028666757246,0.62,0.3,0.4,21,42
MB,0.3879490930041148,0.62,0.3,0.4,21,42
MF,0.26672567682263837,0.62,0.3,0.4,21,42
IL,0.5950753316699985,0.4,0.3,0.4,22,44
MB,0.4206398302770249,0.4,0.3,0.4,22,44
MF,0.4417514904081703,0.4,0.3,0.4,22,44
IL,0.595060014085345,0.6,0.1,0.4,23,49
MB,0.5231390911538591,0.6,0.1,0.4,23,49
MF,0.24090877068717642,0.6,0.1,0.4,23,49
IL,0.594532778077186,0.35,0.1,0.4,24,49
MB,0.29261711013766906,0.35,0.1,0.4,24,49
MF,0.26337066231021183,0.35,0.1,0.4,24,49
IL,0.5952730638638967,0.59,0.1,0.4,25,43
MB,0.6136064457313632,0.59,0.1,0.4,25,43
MF,0.2825660039379677,0.59,0.1,0.4,25,43
IL,0.594888283029562,0.13,0.3,0.4,26,42
MB,0.2905608764812546,0.13,0.3,0.4,26,42
MF,0.5260482609828274,0.13,0.3,0.4,26,42
IL,0.5950451464014176,0.37,0.3,0.4,27,44
MB,0.32317681213562016,0.37,0.3,0.4,27,44
MF,0.39307577223124074,0.37,0.3,0.4,27,44
IL,0.595002547866503,0.37,0.3,0.4,28,50
MB,0.4209088430500978,0.37,0.3,0.4,28,50
MF,0.45783569357162196,0.37,0.3,0.4,28,50
IL,0.5950772273137959,0.4,0.3,0.4,29,50
MB,0.3902781503606307,0.4,0.3,0.4,29,50
MF,0.4098447602117036,0.4,0.3,0.4,29,50
IL,0.5947804672141346,0.55,0.3,0.4,30,42
MB,0.21655705508617676,0.55,0.3,0.4,30,42
MF,0.24160061933811397,0.55,0.3,0.4,30,42
IL,0.5948352390563822,0.71,0.3,0.4,31,44
MB,0.3295713723908732,0.71,0.3,0.4,31,44
MF,0.1851137157297256,0.71,0.3,0.4,31,44
IL,0.5949557664487426,0.83,0.3,0.4,32,48
MB,0.5257777385894443,0.83,0.3,0.4,32,48
MF,0.15517973700029755,0.83,0.3,0.4,32,48
IL,0.5947992784683552,0.39,0.3,0.4,33,48
MB,0.30750690932293867,0.39,0.3,0.4,33,48
MF,0.36666531662036705,0.39,0.3,0.4,33,48
IL,0.5950070104406207,0.09,0.2,0.4,34,46
MB,0.3997354603400836,0.09,0.2,0.4,34,46
MF,0.5342295828520761,0.09,0.2,0.4,34,46
IL,0.5951012038642471,0.81,0.1,0.4,35,45
MB,0.586406469018668,0.81,0.1,0.4,35,45
MF,0.12656643702127385,0.81,0.1,0.4,35,45
IL,0.594915792298386,0.73,0.1,0.4,36,49
MB,0.6573998236674425,0.73,0.1,0.4,36,49
MF,0.20791117327117326,0.73,0.1,0.4,36,49
IL,0.5954458509395547,0.8,0.1,0.4,37,45
MB,0.6462650464777356,0.8,0.1,0.4,37,45
MF,0.15800864870423692,0.8,0.1,0.4,37,45
IL,0.5947804723046876,0.8,0.1,0.4,38,51
MB,0.49210238953040186,0.8,0.1,0.4,38,51
MF,0.09267624796345825,0.8,0.1,0.4,38,51
IL,0.5957235663159651,0.81,0.1,0.4,39,51
MB,0.6610010111530737,0.81,0.1,0.4,39,51
