strategy,count,delta,kappa,sim
IL,107.9696,0.8,0.2,1
MF,12.270909832721339,0.8,0.2,1
IL,8.357809330628804,0.5,0.9,2
MF,111.7592,0.5,0.9,2
IL,15.8752,0.6000000000000001,0.8,3
MF,104.1248,0.6000000000000001,0.8,3
IL,98.0796,0.7000000000000001,0.4,4
MF,21.9204,0.7000000000000001,0.4,4
IL,57.462,0.4,0.4,5
MF,62.538,0.4,0.4,5
IL,107.9376,0.6000000000000001,0.1,6
MF,12.0624,0.6000000000000001,0.1,6
IL,113.8156,0.5,0.0,7
MF,6.1844,0.5,0.0,7
IL,8.4244,0.2,1.0,8
MF,111.5756,0.2,1.0,8
IL,14.9572,0.0,0.2,9
MF,105.0428,0.0,0.2,9
IL,82.316,0.30000000000000004,0.2,10
MF,37.684,0.30000000000000004,0.2,10
IL,10.334,0.1,0.6000000000000001,11
MF,109.666,0.1,0.6000000000000001,11
IL,47.2508,0.5,0.5,12
MF,72.7492,0.5,0.5,12
IL,81.3468,0.6000000000000001,0.4,13
MF,38.6532,0.6000000000000001,0.4,13
IL,13.82,0.30000000000000004,0.7000000000000001,14
MF,106.18,0.30000000000000004,0.7000000000000001,14
IL,8.037111738604276,0.8,1.0,15
MF,112.0304,0.8,1.0,15
IL,18.1868,0.4,0.8,16
MF,101.8132,0.4,0.8,16
IL,33.23,0.7000000000000001,0.8,17
MF,86.77,0.7000000000000001,0.8,17
IL,5.473768522226672,0.0,0.6000000000000001,18
MF,114.5328,0.0,0.6000000000000001,18
IL,6.410728582866293,0.30000000000000004,1.0,19
MF,113.5944,0.30000000000000004,1.0,19
IL,78.6972,0.30000000000000004,0.30000000000000004,20
MF,41.3028,0.30000000000000004,0.30000000000000004,20
IL,99.6272,0.4,0.1,21
MF,20.3728,0.4,0.1,21
IL,107.6876,0.7000000000000001,0.1,22
MF,12.3124,0.7000000000000001,0.1,22
IL,57.62,0.2,0.2,23
MF,62.38,0.2,0.2,23
IL,3.721665999199039,0.0,1.0,24
MF,116.2828,0.0,1.0,24
IL,16.7256,0.30000000000000004,0.6000000000000001,25
MF,103.2744,0.30000000000000004,0.6000000000000001,25
IL,11.7056,0.6000000000000001,1.0,26
MF,108.2944,0.6000000000000001,1.0,26
IL,12.7172,0.9,0.9,27
MF,107.2828,0.9,0.9,27
IL,106.164,0.7000000000000001,0.2,28
