strategy,avg_payoff,delta,kappa,sim
IL,0.7933432659560818,0.8,0.2,1
MF,0.17447311996281653,0.8,0.2,1
IL,0.099173816088325,0.5,0.9,2
MF,0.0757276826895976,0.5,0.9,2
IL,0.19832510113176716,0.6000000000000001,0.8,3
MF,0.08785519697428258,0.6000000000000001,0.8,3
IL,0.5950850414501632,0.7000000000000001,0.4,4
MF,0.2603970886119977,0.7000000000000001,0.4,4
IL,0.5949090466331097,0.4,0.4,5
MF,0.4099590585462114,0.4,0.4,5
IL,0.8925422962526618,0.6000000000000001,0.1,6
MF,0.40485353189794904,0.6000000000000001,0.1,6
IL,0.991704637362941,0.5,0.0,7
MF,0.46701237196755774,0.5,0.0,7
IL,0.0,0.2,1.0,8
MF,0.2077189454435011,0.2,1.0,8
IL,0.7931780690577517,0.0,0.2,9
MF,0.9902528721494669,0.0,0.2,9
IL,0.7933845398756275,0.30000000000000004,0.2,10
MF,0.5954104760948286,0.30000000000000004,0.2,10
IL,0.3966021876314259,0.1,0.6000000000000001,11
MF,0.4275613020928556,0.1,0.6000000000000001,11
IL,0.4958042626736953,0.5,0.5,12
MF,0.26305379222421926,0.5,0.5,12
IL,0.5949203635995794,0.6000000000000001,0.4,13
MF,0.3404677020504542,0.6000000000000001,0.4,13
IL,0.2976576260889991,0.30000000000000004,0.7000000000000001,14
MF,0.18520379443421742,0.30000000000000004,0.7000000000000001,14
IL,0.0,0.8,1.0,15
MF,0.006622582002559568,0.8,1.0,15
IL,0.19836002432165964,0.4,0.8,16
MF,0.18345357882715677,0.4,0.8,16
IL,0.1983804894323622,0.7000000000000001,0.8,17
MF,0.1001562664693096,0.7000000000000001,0.8,17
IL,0.39616990131878577,0.0,0.6000000000000001,18
MF,0.989413367948571,0.0,0.6000000000000001,18
IL,0.0,0.30000000000000004,1.0,19
MF,0.08031708792548942,0.30000000000000004,1.0,19
IL,0.6942335812489199,0.30000000000000004,0.30000000000000004,20
MF,0.5881931844740704,0.30000000000000004,0.30000000000000004,20
IL,0.8925210402236966,0.4,0.1,21
MF,0.5486568429000681,0.4,0.1,21
IL,0.8925600590319256,0.7000000000000001,0.1,22
MF,0.27647657043910306,0.7000000000000001,0.1,22
IL,0.7932693149133454,0.2,0.2,23
MF,0.6530114783820506,0.2,0.2,23
IL,0.0,0.0,1.0,24
MF,0.9889126503827581,0.0,1.0,24
IL,0.3967751560768084,0.30000000000000004,0.6000000000000001,25
MF,0.2095164949878358,0.30000000000000004,0.6000000000000001,25
IL,0.0,0.6000000000000001,1.0,26
MF,0.07960691429415812,0.6000000000000001,1.0,26
IL,0.09920074124928137,0.9,0.9,27
MF,0.018741337859402553,0.9,0.9,27
IL,0.7933672035931848,0.7000000000000001,0.2,28
MF,0.2730385555783313,0.7000000000000001,0.2,28
IL,0.8924614028002638,0.2,0.1,29
MF,0.6624077750194746,0.2,0.1,29
IL,0.7933298224561453,0.4,0.2,30
MF,0.5139366435313752,0.4,0.2,30
IL,0.9917371115966245,0.1,0.0,31
MF,0.8390115879094568,0.1,0.0,31
IL,0.5949488932281561,0.8,0.4,32
MF,0.1562550060918188,0.8,0.4,32
IL,0.19811329581529571,0.2,0.8,33
MF,0.15768755519766398,0.2,0.8,33
IL,0.5949994248708558,0.30000000000000004,0.4,34
MF,0.4517727576919422,0.30000000000000004,0.4,34
IL,0.9916917123636556,0.9,0.0,35
MF,0.09620139527139526,0.9,0.0,35
IL,0.2972671924924627,0.0,0.7000000000000001,36
MF,0.9889029351999363,0.0,0.7000000000000001,36
IL,0.09914967167885423,0.1,0.9,37
MF,0.43107081625379734,0.1,0.9,37
IL,0.49585975268488147,1.0,0.5,38
MF,0.01660788836073684,1.0,0.5,38
IL,0.5941711207811796,0.0,0.4,39
MF,0.9894554580704915,0.0,0.4,39
IL,0.6941593828998749,0.2,0.30000000000000004,40
MF,0.5217932362422704,0.2,0.30000000000000004,40
IL,0.4958565792114031,0.9,0.5,41
MF,0.08089579056733566,0.9,0.5,41
IL,0.8924397332202733,0.30000000000000004,0.1,42
MF,0.6211726120857275,0.30000000000000004,0.1,42
IL,0.7933922452012012,0.6000000000000001,0.2,43
MF,0.3857345830400855,0.6000000000000001,0.2,43
IL,0.6941735530196336,0.1,0.30000000000000004,44
MF,0.6843664767315644,0.1,0.30000000000000004,44
IL,0.891974137165289,0.0,0.1,45
MF,0.9897718433980426,0.0,0.1,45
IL,0.0,0.7000000000000001,1.0,46
MF,0.030874680119753212,0.7000000000000001,1.0,46
IL,0.0,0.4,1.0,47
MF,0.0727014855337709,0.4,1.0,47
IL,0.19835757929113448,0.8,0.8,48
MF,0.035290249626794945,0.8,0.8,48
IL,0.6942327165555942,0.7000000000000001,0.30000000000000004,49
MF,0.25908511030615966,0.7000000000000001,0.30000000000000004,49
IL,0.9916484366930128,1.0,0.0,50
MF,0.012877750680691857,1.0,0.0,50
IL,0.6938998794506147,0.0,0.30000000000000004,51
MF,0.9896635818576862,0.0,0.30000000000000004,51
IL,0.6941553208331503,1.0,0.30000000000000004,52
MF,0.013650495455402844,1.0,0.30000000000000004,52
IL,0.4957888490369944,0.1,0.5,53
MF,0.5439254811538117,0.1,0.5,53
IL,0.1982241052814381,0.30000000000000004,0.8,54
MF,0.12595113074346503,0.30000000000000004,0.8,54
IL,0.5949734909336639,0.2,0.4,55
MF,0.46183240145170384,0.2,0.4,55
IL,0.6941694776498084,0.4,0.30000000000000004,56
MF,0.4755961685854366,0.4,0.30000000000000004,56
IL,0.1980962436308851,0.0,0.8,57
MF,0.98892994126667,0.0,0.8,57
IL,0.09921952522525193,1.0,0.9,58
MF,0.008752137392817579,1.0,0.9,58
IL,0.6941979976640502,0.5,0.30000000000000004,59
MF,0.4255792294913713,0.5,0.30000000000000004,59
IL,0.8924849144049327,0.8,0.1,60
MF,0.18059877681142386,0.8,0.1,60
IL,0.2974739079573676,0.1,0.7000000000000001,61
MF,0.4493383825068884,0.1,0.7000000000000001,61
IL,0.0,1.0,1.0,62
MF,0.0066995233663238235,1.0,1.0,62
IL,0.9916838705607451,0.4,0.0,63
