strategy,count,delta,lambda,kappa,sim
IL,6.522545301306363,0.0,0.9,0.2,1
MB,3.241616509028375,0.0,0.9,0.2,1
MF,110.7928,0.0,0.9,0.2,1
IL,18.0392,0.6000000000000001,0.30000000000000004,0.6000000000000001,2
MB,24.9388,0.6000000000000001,0.30000000000000004,0.6000000000000001,2
MF,77.022,0.6000000000000001,0.30000000000000004,0.6000000000000001,2
IL,20.3476,0.6000000000000001,1.0,0.7000000000000001,3
MB,3.1286288521661456,0.6000000000000001,1.0,0.7000000000000001,3
MF,96.8504,0.6000000000000001,1.0,0.7000000000000001,3
IL,102.2584,1.0,0.3,0.1,4
MB,12.2564,1.0,0.3,0.1,4
MF,5.59257748776509,1.0,0.3,0.1,4
IL,79.222,0.8,0.7000000000000001,0.5,5
MB,4.942833809718253,0.8,0.7000000000000001,0.5,5
MF,35.936,0.8,0.7000000000000001,0.5,5
IL,95.452,0.2,0.2,0.1,6
MB,14.075721153846153,0.2,0.2,0.1,6
MF,10.4948,0.2,0.2,0.1,6
IL,106.7212,1.0,1.0,0.1,7
MB,5.103323988786544,1.0,1.0,0.1,7
MF,8.1816,1.0,1.0,0.1,7
IL,111.0816,0.8,0.5,0.1,8
MB,4.316694630872483,0.8,0.5,0.1,8
MF,4.802,0.8,0.5,0.1,8
IL,7.7868,0.7000000000000001,0.30000000000000004,0.8,9
MB,7.723673469387755,0.7000000000000001,0.30000000000000004,0.8,9
MF,104.644,0.7000000000000001,0.30000000000000004,0.8,9
IL,32.4996,0.9,0.4,0.7000000000000001,10
MB,46.882,0.9,0.4,0.7000000000000001,10
MF,40.6184,0.9,0.4,0.7000000000000001,10
IL,17.256,0.0,0.6000000000000001,0.1,11
MB,3.5667998224589437,0.0,0.6000000000000001,0.1,11
MF,99.5296,0.0,0.6000000000000001,0.1,11
IL,32.1816,0.1,0.5,0.30000000000000004,12
MB,6.08128078817734,0.1,0.5,0.30000000000000004,12
MF,81.8928,0.1,0.5,0.30000000000000004,12
IL,70.526,0.7000000000000001,0.2,0.2,13
MB,38.3976,0.7000000000000001,0.2,0.2,13
MF,11.0764,0.7000000000000001,0.2,0.2,13
IL,4.44,1.0,0.8,0.9,14
MB,5.3172,1.0,0.8,0.9,14
MF,110.2428,1.0,0.8,0.9,14
IL,8.7948,0.5,0.0,0.6000000000000001,15
MB,95.7172,0.5,0.0,0.6000000000000001,15
MF,15.488,0.5,0.0,0.6000000000000001,15
IL,97.0368,0.5,0.4,0.1,16
MB,4.941707717569787,0.5,0.4,0.1,16
MF,18.148,0.5,0.4,0.1,16
IL,4.9952,0.0,0.9,0.30000000000000004,17
MB,2.6217687074829934,0.0,0.9,0.30000000000000004,17
MF,112.6924,0.0,0.9,0.30000000000000004,17
IL,32.9536,0.30000000000000004,0.4,0.4,18
MB,3.7629327902240326,0.30000000000000004,0.4,0.4,18
MF,83.3512,0.30000000000000004,0.4,0.4,18
IL,24.4756,0.5,0.30000000000000004,0.4,19
MB,25.3808,0.5,0.30000000000000004,0.4,19
MF,70.1436,0.5,0.30000000000000004,0.4,19
IL,3.568,0.7000000000000001,0.0,1.0,20
MB,108.6876,0.7000000000000001,0.0,1.0,20
